group,cell_id,sheath_id,sheath_length,somas,bites
ntr_dmso,15,8,39.689,1,0
ntr_mtz,1,1,18.498,0,0
ntr_mtz,1,2,7.801,0,0
ntr_mtz,1,3,4.423,0,0
ntr_mtz,1,4,15.131,0,0
ntr_mtz,1,5,25.027,0,0
ntr_mtz,1,6,40.5,0,0
ntr_mtz,1,7,42.994,0,0
ntr_mtz,1,8,37.276,0,0
ntr_mtz,1,9,29.827,0,0
ntr_mtz,1,10,31.069,0,0
ntr_mtz,1,11,29.746,0,0
ntr_mtz,1,12,67.271,0,0
ntr_mtz,2,1,12.206,0,0
ntr_mtz,2,2,22.769,0,0
ntr_mtz,2,3,11.585,0,0
ntr_mtz,2,4,9.628,0,0
ntr_mtz,2,5,16.498,0,0
ntr_mtz,2,6,31.542,0,0
ntr_mtz,2,7,22.753,0,0
ntr_mtz,2,8,24.297,0,0
ntr_mtz,2,9,38.052,0,0
ntr_mtz,2,10,40.736,0,0
ntr_mtz,2,11,62.814,0,0
ntr_mtz,2,12,13.45,0,0
ntr_mtz,2,13,11.13,0,0
ntr_mtz,2,14,25.02,0,0
ntr_mtz,2,15,14.901,0,0
ntr_mtz,3,1,22.186,0,0
ntr_mtz,3,2,26.314,0,0
ntr_mtz,3,3,27.294,0,0
ntr_mtz,3,4,6.72,0,0
ntr_mtz,3,5,16.739,0,0
ntr_mtz,3,6,15.547,0,0
ntr_mtz,3,7,18.528,0,0
ntr_mtz,3,8,10.573,0,0
ntr_mtz,3,9,22.053,0,0
ntr_mtz,3,10,77.431,0,0
ntr_mtz,3,11,45.039,0,0
ntr_mtz,3,12,25.928,0,0
ntr_mtz,3,13,28.956,0,0
ntr_mtz,4,1,15.358,2,0
ntr_mtz,4,2,34.152,2,0
ntr_mtz,4,3,40.72,2,0
ntr_mtz,4,4,31.538,2,0
ntr_mtz,4,5,18.508,2,0
ntr_mtz,4,6,12.714,2,0
ntr_mtz,4,7,19.149,2,0
ntr_mtz,4,8,5.106,2,0
ntr_mtz,4,9,16.914,2,0
ntr_mtz,4,10,27.566,2,0
ntr_mtz,4,11,26.522,2,0
ntr_mtz,4,12,25.293,2,0
ntr_mtz,4,13,15.907,2,0
ntr_mtz,4,14,19.801,2,0
ntr_mtz,4,15,43.932,2,0
ntr_mtz,4,16,11.867,2,0
ntr_mtz,5,1,17.961,2,0
ntr_mtz,5,2,11.245,2,0
ntr_mtz,5,3,2.908,2,0
ntr_mtz,5,4,33.63,2,0
ntr_mtz,5,5,6.187,2,0
ntr_mtz,5,6,21.311,2,0
ntr_mtz,5,7,28.447,2,0
ntr_mtz,5,8,26.459,2,0
ntr_mtz,5,9,42.519,2,0
ntr_mtz,5,10,51.645,2,0
ntr_mtz,6,1,32.362,0,1
ntr_mtz,6,2,12.483,0,1
ntr_mtz,6,3,20.141,0,1
ntr_mtz,6,4,36.83,0,1
ntr_mtz,6,5,59.279,0,1
ntr_mtz,6,6,53.224,0,1
ntr_mtz,6,7,11.959,0,1
ntr_mtz,6,8,17.883,0,1
ntr_mtz,6,9,42.328,0,1
ntr_mtz,6,10,13.563,0,1
ntr_mtz,7,1,18.387,0,0
ntr_mtz,7,2,23.154,0,0
ntr_mtz,7,3,23.078,0,0
ntr_mtz,7,4,8.159,0,0
ntr_mtz,7,5,11.709,0,0
ntr_mtz,7,6,16.835,0,0
ntr_mtz,7,7,22.97,0,0
ntr_mtz,7,8,4.113,0,0
ntr_mtz,8,1,22.297,0,0
ntr_mtz,8,2,49.414,0,0
ntr_mtz,8,3,21.295,0,0
ntr_mtz,8,4,30.205,0,0
ntr_mtz,8,5,32.441,0,0
ntr_mtz,8,6,81.209,0,0
ntr_mtz,8,7,28.848,0,0
ntr_mtz,8,8,20.637,0,0
ntr_mtz,8,9,41.978,0,0
ntr_mtz,8,10,26.431,0,0
ntr_mtz,8,11,22.54,0,0
ntr_mtz,9,1,47.969,0,0
ntr_mtz,9,2,44.862,0,0
ntr_mtz,9,3,35.498,0,0
ntr_mtz,9,4,17.91,0,0
ntr_mtz,9,5,23.073,0,0
ntr_mtz,9,6,17.676,0,0
ntr_mtz,9,7,19.02,0,0
ntr_mtz,9,8,17.064,0,0
ntr_mtz,9,9,21.073,0,0
ntr_mtz,9,10,21.879,0,0
ntr_mtz,9,11,5.067,0,0
ntr_mtz,9,12,18.57,0,0
ntr_mtz,9,13,17.859,0,0
ntr_mtz,9,14,36.034,0,0
ntr_mtz,9,15,35.029,0,0
ntr_mtz,9,16,31.099,0,0
ntr_mtz,9,17,6.822,0,0
ntr_mtz,9,18,73.714,0,0
ntr_mtz,9,19,23.157,0,0
ntr_mtz,10,1,20.09,1,0
ntr_mtz,10,2,36.658,1,0
ntr_mtz,10,3,58.148,1,0
ntr_mtz,10,4,23.295,1,0
ntr_mtz,10,5,69.914,1,0
ntr_mtz,10,6,30.41,1,0
ntr_mtz,10,7,29.497,1,0
ntr_mtz,10,8,28.651,1,0
ntr_mtz,10,9,26.815,1,0
ntr_mtz,11,1,12.281,3,0
ntr_mtz,11,2,17.38,3,0
ntr_mtz,11,3,12.812,3,0
ntr_mtz,11,4,21.612,3,0
ntr_mtz,11,5,27.06,3,0
ntr_mtz,11,6,17.965,3,0
ntr_mtz,11,7,8.538,3,0
ntr_mtz,11,8,30.934,3,0
ntr_mtz,11,9,19.831,3,0
ntr_mtz,11,10,11.377,3,0
ntr_mtz,11,11,20.124,3,0
ntr_mtz,11,12,7.154,3,0
ntr_mtz,11,13,7.748,3,0
ntr_mtz,11,14,3.854,3,0
ntr_mtz,11,15,41.312,3,0
ntr_mtz,11,16,8.984,3,0
ntr_mtz,11,17,36.725,3,0
ntr_mtz,11,18,28.33,3,0
ntr_mtz,12,1,6.443,0,0
ntr_mtz,12,2,39.485,0,0
ntr_mtz,12,3,33.958,0,0
ntr_mtz,12,4,48.805,0,0
ntr_mtz,12,5,13.365,0,0
ntr_mtz,12,6,10.676,0,0
ntr_mtz,12,7,8.903,0,0
ntr_mtz,12,8,29.711,0,0
ntr_mtz,12,9,14.512,0,0
ntr_mtz,12,10,15.018,0,0
ntr_mtz,12,11,18.242,0,0
ntr_mtz,12,12,8.989,0,0
ntr_mtz,12,13,32.416,0,0
ntr_mtz,12,14,6.651,0,0
ntr_mtz,12,15,28.324,0,0
ntr_mtz,12,16,41.366,0,0
ntr_mtz,12,17,6.021,0,0
ntr_mtz,12,18,10.33,0,0
ntr_mtz,12,19,6.72,0,0
ntr_mtz,12,20,20.141,0,0
ntr_mtz,12,21,13.369,0,0
ntr_mtz,12,22,22.554,0,0
ntr_mtz,12,23,26.588,0,0
ntr_mtz,12,24,22.946,0,0
ntr_mtz,12,25,7.256,0,0
ntr_mtz,12,26,14.869,0,0
ntr_mtz,12,27,8.439,0,0
ntr_mtz,13,1,20.185,0,2
ntr_mtz,13,2,13.809,0,2
ntr_mtz,13,3,10.682,0,2
ntr_mtz,13,4,11.101,0,2
ntr_mtz,13,5,9.483,0,2
ntr_mtz,13,6,20.217,0,2
ntr_mtz,13,7,11.67,0,2
ntr_mtz,13,8,29.006,0,2
ntr_mtz,13,9,11.141,0,2
ntr_mtz,13,10,15.027,0,2
ntr_mtz,13,11,4.739,0,2
ntr_mtz,13,12,7.023,0,2
ntr_mtz,13,13,4.697,0,2
ntr_mtz,13,14,88.303,0,2
ntr_mtz,13,15,27.623,0,2
ntr_mtz,13,16,58.382,0,2
ntr_mtz,13,17,35.377,0,2
ntr_mtz,14,1,26.917,1,0
ntr_mtz,14,2,6.446,1,0
ntr_mtz,14,3,16.335,1,0
ntr_mtz,14,4,24.378,1,0
ntr_mtz,14,5,24.371,1,0
ntr_mtz,14,6,13.275,1,0
ntr_mtz,14,7,40.415,1,0
ntr_mtz,14,8,9.681,1,0
ntr_mtz,14,9,14.327,1,0
ntr_mtz,14,10,11.272,1,0
ntr_mtz,14,11,12.319,1,0
ntr_mtz,14,12,8.614,1,0
ntr_mtz,14,13,21.889,1,0
ntr_mtz,14,14,16.374,1,0
ntr_mtz,14,15,33.5,1,0
ntr_mtz,14,16,23.05,1,0
ntr_mtz,14,17,32.429,1,0
ntr_mtz,14,18,35.073,1,0
ntr_mtz,14,19,5.233,1,0
ntr_mtz,14,20,42.451,1,0
ntr_mtz,14,21,32.215,1,0
ntr_mtz,15,1,13.756,1,0
ntr_mtz,15,2,13.547,1,0
ntr_mtz,15,3,4.871,1,0
ntr_mtz,15,4,30.586,1,0
ntr_mtz,15,5,16.645,1,0
ntr_mtz,15,6,8.942,1,0
ntr_mtz,15,7,31.958,1,0
ntr_mtz,15,8,24.059,1,0
ntr_mtz,15,9,14.674,1,0
ntr_mtz,15,10,6.124,1,0
ntr_mtz,15,11,44.894,1,0
ntr_mtz,15,12,23.401,1,0
ntr_mtz,15,13,2.878,1,0
ntr_mtz,15,14,22.42,1,0
ntr_mtz,15,15,16.438,1,0
ntr_mtz,15,16,19.963,1,0
ntr_mtz,15,17,6.291,1,0
sib_dmso,1,1,36.093,0,0
sib_dmso,1,2,28.344,0,0
sib_dmso,1,3,32.087,0,0
sib_dmso,1,4,26.846,0,0
sib_dmso,1,5,26.94,0,0
sib_dmso,1,6,51.692,0,0
sib_dmso,1,7,16.739,0,0
sib_dmso,1,8,26.851,0,0
sib_dmso,1,9,52.687,0,0
sib_dmso,1,10,32.93,0,0
sib_dmso,1,11,30.66,0,0
