cell_id,area,dff,dur,dist_to_soma,acq_dur
1,41.9628,0.250418,100,23.516804,1200
1,20.4612,0.20528081,40,9.544254,1200
1,35.4892,0.18889128,60,15.316352,1200
1,20.808,0.14241102,120,34.280125,1200
1,16.762,0.12813152,80,40.953384,1200
1,38.8416,0.12794025,40,3.0600002,1200
1,1.156,0.119596474,100,45.49366,1200
1,4.1616,0.115744166,100,21.744057,1200
1,1.0404,0.113239124,120,29.579998,1200
1,142.766,0.11169641,80,1.4573766,1200
1,2.0808,0.10647029,80,12.584594,1200
1,1.156,0.10520976,100,43.39666,1200
1,1.6184001,0.104769416,80,41.929043,1200
1,35.026802,0.09983342,40,11.561951,1200
1,1.3872,0.09975863,80,9.865861,1200
1,48.552002,0.09966097,60,24.916674,1200
1,1.0404,0.099270575,100,41.8352,1200
1,10.288401,0.09810904,100,11.679035,1200
1,1.3872,0.09341864,40,16.74306,1200
1,1.9652001,0.09294794,220,41.540077,1200
1,4.046,0.0899015,60,8.081708,1200
1,1.156,0.08617787,80,12.917454,1200
1,1.5028,0.08503663,40,12.579999,1200
1,13.6407995,0.08404396,180,19.807745,1200
1,2.4276,0.08380396,80,16.92162,1200
1,1.734,0.08264801,140,30.112556,1200
1,11.9068,0.08248892,120,42.528458,1200
1,2.312,0.08181155,100,27.2,1200
1,7.0516,0.08023426,100,12.54319,1200
1,6.8203998,0.078096665,180,13.756349,1200
1,16.6464,0.07809469,320,11.522527,1200
1,3.9304001,0.0779959,100,18.961863,1200
1,8.4388,0.077080764,40,14.141712,1200
1,1.0404,0.07686674,20,19.569946,1200
1,3.9304001,0.07542972,60,17.013596,1200
1,1.5028,0.075031064,60,14.635804,1200
1,1.2716,0.07420638,40,30.533817,1200
1,13.178401,0.07198962,40,29.186579,1200
1,2.312,0.06988352,100,41.175636,1200
1,2.4276,0.06953315,80,0,1200
1,3.9304001,0.06905872,180,40.636753,1200
1,14.9124,0.068984315,380,12.789769,1200
1,8.7856,0.06895199,80,12.559603,1200
1,1.3872,0.068724826,80,12.744332,1200
1,21.386002,0.06809043,80,10.822004,1200
1,5.0864,0.0677113,60,0,1200
1,3.1212,0.06759165,20,14.870871,1200
1,6.7047997,0.06414378,20,22.984604,1200
1,1.9652001,0.063382134,60,11.363327,1200
1,4.1616,0.061804824,180,30.548235,1200
1,19.8832,0.061710466,380,2.0400002,1200
1,1.2716,0.061618976,80,33.502342,1200
1,9.1324005,0.06073884,80,13.411697,1200
1,1.6184001,0.060108125,20,11.152829,1200
1,4.046,0.057756323,120,9.91262,1200
1,7.6296,0.054030247,180,19.47223,1200
1,4.624,0.051592164,100,30.14363,1200
1,4.046,0.051083397,60,0.02372093,1200
1,10.1728,0.050617903,300,27.69111,1200
2,39.0728,0.07161393,100,2.3916783,1200
2,73.406006,0.06836672,80,41.07617,1200
2,63.2332,0.1458783,80,28.584402,1200
2,34.102,0.07091758,340,0,1200
2,33.8708,0.056113962,380,51.972244,1200
2,19.9988,0.050689083,100,0,1200
2,24.5072,0.060875744,100,8.809415,1200
2,29.593601,0.066789135,200,5.1679726,1200
2,30.633999,0.05779782,540,40.416573,1200
2,27.397202,0.05078096,320,23.424364,1200
2,18.0336,0.052859303,100,0.048571426,1200
2,8.7856,0.059784852,80,0.32111108,1200
2,19.7676,0.05190307,180,14.812871,1200
2,33.7552,0.05973922,160,36.164883,1200
2,28.2064,0.07877745,220,36.34433,1200
2,12.4848,0.050532356,100,14.258952,1200
2,17.918001,0.08765609,180,51.394638,1200
2,12.947201,0.05432378,100,0.039230768,1200
2,8.67,0.06885653,220,22.0845,1200
2,8.67,0.068309516,100,0.30738074,1200
2,5.8956003,0.058329646,100,3.6776626,1200
2,13.6407995,0.059794795,80,9.232116,1200
2,9.363601,0.051650215,120,29.704794,1200
2,10.288401,0.067148715,320,21.223902,1200
2,13.5252,0.06814279,40,37.42163,1200
2,15.721601,0.06691508,180,42.466007,1200
2,12.600401,0.05100313,220,30.351551,1200
2,8.4388,0.056499496,300,0,1200
2,10.6352005,0.05998048,280,47.75495,1200
2,6.3580003,0.070358515,520,0,1200
2,9.7104,0.06760334,240,36.21439,1200
2,9.248,0.06351557,180,20.964521,1200
2,6.936,0.10749523,100,53.077038,1200
2,8.092,0.05332344,300,21.533783,1200
2,8.7856,0.05113342,140,0.33999997,1200
2,8.9012,0.06330198,80,26.073809,1200
2,11.6756,0.0534991,120,21.148438,1200
2,9.594801,0.056574855,120,29.681437,1200
2,4.7396,0.060123198,220,21.744055,1200
2,8.3232,0.070863605,60,35.10407,1200
2,4.5084,0.06613415,100,37.9083,1200
2,8.4388,0.060697194,120,0,1200
2,2.6588001,0.061694797,100,22.606804,1200
2,6.2424,0.055537313,240,38.06698,1200
2,4.5084,0.06013625,100,29.52328,1200
2,5.202,0.09631806,120,50.71759,1200
2,3.9304001,0.07651845,100,13.0689535,1200
2,7.2828,0.052708045,60,53.811375,1200
2,7.9764004,0.05915047,80,18.404022,1200
2,4.3928,0.068573266,80,31.873074,1200
2,3.5836,0.06494826,140,23.321623,1200
2,4.2772,0.07276575,80,16.29519,1200
2,5.4332004,0.0661811,100,11.738619,1200
2,4.5084,0.057852283,100,2.72,1200
2,5.0864,0.052168626,200,35.610844,1200
2,6.936,0.08181885,80,59.39781,1200
2,3.0056,0.05939234,40,21.226528,1200
2,3.468,0.07758496,120,27.839832,1200
2,3.468,0.060148586,60,13.471895,1200
2,4.046,0.087564625,100,0.09714286,1200
2,2.6588001,0.08081455,80,15.454321,1200
2,3.3523998,0.06429592,60,9.072331,1200
2,1.9652001,0.06154077,160,9.679918,1200
2,1.9652001,0.10915095,60,24.878153,1200
2,5.6644,0.07520141,120,38.33566,1200
2,3.3523998,0.082563534,60,45.61335,1200
2,2.7744,0.059175327,80,0.6071428,1200
2,2.312,0.06493776,80,7.3241496,1200
2,4.046,0.08665175,80,34.4878,1200
2,1.5028,0.13171776,160,24.857233,1200
2,2.0808,0.07093071,60,0.04857143,1200
2,3.0056,0.0705211,80,19.006578,1200
2,1.5028,0.076938026,80,17.709398,1200
2,1.8496001,0.06790358,60,13.32956,1200
2,2.4276,0.09511091,80,12.792396,1200
2,2.0808,0.09250744,60,37.283913,1200
2,1.6184001,0.067253485,80,11.709039,1200
2,2.1964,0.07559575,120,0,1200
2,1.734,0.07717761,40,2.38,1200
2,2.4276,0.055153627,80,19.188173,1200
2,2.1964,0.06266348,80,7.48,1200
2,2.1964,0.060270283,60,20.177164,1200
2,1.0404,0.10767902,140,0,1200
2,1.2716,0.06845652,40,9.034286,1200
2,1.6184001,0.076825164,100,38.685368,1200
2,1.2716,0.113519244,80,19.882542,1200
2,1.734,0.06598263,120,27.959616,1200
2,1.6184001,0.0599451,40,30.395647,1200
2,2.0808,0.07383073,80,26.539606,1200
2,1.0404,0.063420154,20,5.278219,1200
2,1.0404,0.07082037,20,19.825237,1200
3,25.3164,0.05670116,300,0,1200
3,27.5128,0.082150735,100,1.5371192,1200
3,17.6868,0.057956815,520,19.197714,1200
3,10.288401,0.06438679,80,27.167294,1200
3,5.6644,0.08069164,100,6.006932,1200
3,13.6407995,0.057959285,80,35.63518,1200
3,8.9012,0.0753525,60,24.672852,1200
3,12.0224,0.06310936,340,20.3939,1200
3,8.9012,0.10794505,100,4.6333456,1200
3,8.9012,0.06453885,80,5.6884766,1200
3,6.0112,0.057606872,80,33.44639,1200
3,11.3288,0.08601235,100,2.0741448,1200
3,4.624,0.069047034,80,26.550493,1200
3,7.8608003,0.05908719,80,28.962984,1200
3,10.5196,0.071310245,80,24.630651,1200
3,1.734,0.06817904,120,0,1200
3,8.5544,0.07583264,80,25.33014,1200
