dff,fluor
0.052878257,mScarlet-CAAX
0.045758996,mScarlet-CAAX
0.0498354,mScarlet-CAAX
0.048601378,mScarlet-CAAX
0.049916565,mScarlet-CAAX
0.062446706,mScarlet-CAAX
0.03429331,mScarlet-CAAX
0.045667563,mScarlet-CAAX
0.05418316,mScarlet-CAAX
0.063214846,mScarlet-CAAX
0.05838017,mScarlet-CAAX
0.046080608,mScarlet-CAAX
0.047478072,mScarlet-CAAX
0.06786218,mScarlet-CAAX
0.037725817,mScarlet-CAAX
0.059209593,mScarlet-CAAX
0.039829317,mScarlet-CAAX
0.08134022,mScarlet-CAAX
0.050480016,mScarlet-CAAX
0.05176527,mScarlet-CAAX
0.022057444,mScarlet-CAAX
0.03082606,mScarlet-CAAX
0.04140823,mScarlet-CAAX
0.072175086,mScarlet-CAAX
0.062345892,mScarlet-CAAX
0.032602984,mScarlet-CAAX
0.030391108,mScarlet-CAAX
0.033572577,mScarlet-CAAX
0.045126658,mScarlet-CAAX
0.04340229,mScarlet-CAAX
0.061469123,mScarlet-CAAX
0.04073929,mScarlet-CAAX
0.040593904,mScarlet-CAAX
0.04228423,mScarlet-CAAX
0.044838496,mScarlet-CAAX
0.043846678,mScarlet-CAAX
0.053971414,mScarlet-CAAX
0.046739835,mScarlet-CAAX
0.04061556,mScarlet-CAAX
0.057438903,mScarlet-CAAX
0.250418,GCaMP6s-CAAX
0.20528081,GCaMP6s-CAAX
0.18889128,GCaMP6s-CAAX
0.14241102,GCaMP6s-CAAX
0.12813152,GCaMP6s-CAAX
0.12794025,GCaMP6s-CAAX
0.119596474,GCaMP6s-CAAX
0.115744166,GCaMP6s-CAAX
0.113239124,GCaMP6s-CAAX
0.11169641,GCaMP6s-CAAX
0.10647029,GCaMP6s-CAAX
0.10520976,GCaMP6s-CAAX
0.104769416,GCaMP6s-CAAX
0.09983342,GCaMP6s-CAAX
0.09975863,GCaMP6s-CAAX
0.09966097,GCaMP6s-CAAX
0.099270575,GCaMP6s-CAAX
0.09810904,GCaMP6s-CAAX
0.09341864,GCaMP6s-CAAX
0.09294794,GCaMP6s-CAAX
