fluor,puncta_id,puncta_area,cell_area,cell_id
mTagBFP-CAAX-2A-BoNT/B,15,0.21336,147.218,15
mTagBFP-CAAX-2A-BoNT/B,16,0.3048,147.218,15
mTagBFP-CAAX-2A-BoNT/B,17,0.27432,147.218,15
mTagBFP-CAAX-2A-BoNT/B,18,0.39624,147.218,15
mTagBFP-CAAX-2A-BoNT/B,19,0.21336,147.218,15
mTagBFP-CAAX-2A-BoNT/B,20,0.39624,147.218,15
mTagBFP-CAAX-2A-BoNT/B,21,0.21336,147.218,15
mTagBFP-CAAX-2A-BoNT/B,22,0.09144,147.218,15
mTagBFP-CAAX-2A-BoNT/B,1,11.2776,194.167,16
mTagBFP-CAAX-2A-BoNT/B,2,2.04216,194.167,16
mTagBFP-CAAX-2A-BoNT/B,3,8.71728,194.167,16
mTagBFP-CAAX-2A-BoNT/B,4,2.1336,194.167,16
mTagBFP-CAAX-2A-BoNT/B,5,0.6096,194.167,16
mTagBFP-CAAX-2A-BoNT/B,6,2.37744,194.167,16
mTagBFP-CAAX-2A-BoNT/B,7,0.762,194.167,16
mTagBFP-CAAX-2A-BoNT/B,8,2.80416,194.167,16
mTagBFP-CAAX-2A-BoNT/B,9,0.42672,194.167,16
mTagBFP-CAAX-2A-BoNT/B,10,1.12776,194.167,16
mTagBFP-CAAX-2A-BoNT/B,11,0.36576,194.167,16
mTagBFP-CAAX-2A-BoNT/B,12,6.12648,194.167,16
mTagBFP-CAAX-2A-BoNT/B,1,1.03632,381.414,17
mTagBFP-CAAX-2A-BoNT/B,2,0.6096,381.414,17
mTagBFP-CAAX-2A-BoNT/B,3,1.70688,381.414,17
mTagBFP-CAAX-2A-BoNT/B,4,5.91312,381.414,17
mTagBFP-CAAX-2A-BoNT/B,5,0.79248,381.414,17
mTagBFP-CAAX-2A-BoNT/B,6,1.09728,381.414,17
mTagBFP-CAAX-2A-BoNT/B,7,0.79248,381.414,17
mTagBFP-CAAX-2A-BoNT/B,8,0.70104,381.414,17
mTagBFP-CAAX-2A-BoNT/B,9,1.55448,381.414,17
mTagBFP-CAAX-2A-BoNT/B,10,0.33528,381.414,17
mTagBFP-CAAX-2A-BoNT/B,11,0.4572,381.414,17
mTagBFP-CAAX-2A-BoNT/B,1,13.65504,296.601,18
mTagBFP-CAAX-2A-BoNT/B,2,0.48768,296.601,18
mTagBFP-CAAX-2A-BoNT/B,3,1.18872,296.601,18
